quote_id,speaker,confidence,method,paragraph,text
q00001,Character Name,1.00,manual-override,11,"“There! I've finished my door to-day, anyhow.”"
q00002,Adam,0.96,before-name-verb,12,“What! Dost think thee'st finished the door?”
q00003,Seth,0.98,after-verb-name,13,"“Aye, sure,”"
q00004,Seth,0.94,before-verb-name,13,“what's awanting to't?”
q00005,Adam,0.96,before-name-verb,14,"“Why, thee'st forgot the panels.”"
q00006,Wiry Ben,0.98,after-verb-name,16,“Hoorray!”
q00007,Wiry Ben,0.94,before-verb-name,16,"“We'll hang up th' door at fur end o' th' shop an' write on't ‘Seth Bede, the Methody, his work.' Here, Jim, lend's hould o' th' red pot.”"
q00008,Adam,0.98,after-verb-name,17,“Nonsense!”
q00009,Adam,0.94,before-verb-name,17,"“Let it alone, Ben Cranage. You'll mayhap be making such a slip yourself some day; you'll laugh o' th' other side o' your mouth then.”"
q00010,Ben,0.98,after-verb-name,18,"“Catch me at it, Adam. It'll be a good while afore my head's full o' th' Methodies,”"
q00011,,0.00,unresolved,19,"“Nay, but it's often full o' drink, and that's worse.”"
q00012,,0.00,unresolved,20,“red pot”
q00013,Ben,0.98,after-verb-name,21,"“Let it alone, will you?”"
q00014,Adam,0.96,before-name-verb,21,"“Let it alone, or I'll shake the soul out o' your body.”"
q00015,,0.00,unresolved,23,"“Let be, Addy, let be. Ben will be joking. Why, he's i' the right to laugh at me—I canna help laughing at myself.”"
q00016,Adam,0.98,after-verb-name,24,"“I shan't loose him till he promises to let the door alone,”"
q00017,Seth,0.98,after-verb-name,25,"“Come, Ben, lad,”"
q00018,Ben,0.96,before-name-verb,25,"“don't let's have a quarrel about it. You know Adam will have his way. You may's well try to turn a waggon in a narrow lane. Say you'll leave the door alone, and make an end on't.”"
q00019,Ben,0.98,after-verb-name,26,"“I binna frighted at Adam,”"
q00020,Adam,0.96,before-name-verb,26,"“but I donna mind sayin' as I'll let 't alone at your askin', Seth.”"
q00021,Adam,0.98,after-verb-name,27,"“Come, that's wise of you, Ben,”"
q00022,Seth,0.91,same-paragraph,29,"“Which was ye thinkin' on, Seth,”"
q00023,Seth,0.96,before-name-verb,29,"“the pretty parson's face or her sarmunt, when ye forgot the panels?”"
